Sire,GC2015b,GC2016b,GC2017b
modmat.siredam2015fit:paternalID6,2.119839963,1.357374434,9.355427172
modmat.siredam2015fit:paternalID8,2.165551285,0.599531363,6.381373582
modmat.siredam2015fit:paternalID15,1.141045629,0.938162835,3.6742656
modmat.siredam2015fit:paternalID16,2.309204215,0.798181118,13.62189276
modmat.siredam2015fit:paternalID28,1.605299632,0.916860662,5.989587725
modmat.siredam2015fit:paternalID34,1.816006969,0.766771991,12.90386755
modmat.siredam2015fit:paternalID36,3.320377241,0.566395077,15.95668208
modmat.siredam2015fit:paternalID37,1.86066188,0.965423816,5.525705166
modmat.siredam2015fit:paternalID38,1.445159533,0.697871387,5.483948781
modmat.siredam2015fit:paternalID44,2.038796358,0.616945852,8.280470511
modmat.siredam2015fit:paternalID58,1.139248282,0.710693513,3.764986448
modmat.siredam2015fit:paternalID60,3.364218105,0.647586624,17.84381726
modmat.siredam2015fit:paternalID63,2.164356423,0.95296487,8.687813898
modmat.siredam2015fit:paternalID71,2.519683449,1.034145596,8.155022536
modmat.siredam2015fit:paternalID76,2.157417333,1.675573625,11.04932433
modmat.siredam2015fit:paternalID81,1.629370223,1.364289716,5.488929658
modmat.siredam2015fit:paternalID98,2.303595948,1.036561028,6.276462325
modmat.siredam2015fit:paternalID99,2.102324888,0.841675358,6.023048197
modmat.siredam2015fit:paternalID106,1.656587628,1.042522669,6.355047619
modmat.siredam2015fit:paternalID110,1.503577195,0.853188815,8.813300337
modmat.siredam2015fit:paternalID112,2.156286808,1.451300292,13.03657262
modmat.siredam2015fit:paternalID115,1.495697769,0.544542287,9.192895834
modmat.siredam2015fit:paternalID119,2.533680722,0.550330759,7.959179852
modmat.siredam2015fit:paternalID122,1.145123062,0.566240291,7.93210914
modmat.siredam2015fit:paternalID124,1.742281154,1.533225523,6.958848952
modmat.siredam2015fit:paternalID126,1.384933156,0.670118093,3.800026981
modmat.siredam2015fit:paternalID127,1.814877745,1.159045404,4.187486239
modmat.siredam2015fit:paternalID130,3.505467489,0.979344909,14.09602904
modmat.siredam2015fit:paternalID131,2.407211868,0.618393035,7.042411014
modmat.siredam2015fit:paternalID135,2.66413256,0.700888037,9.545611412
modmat.siredam2015fit:paternalID138,1.256652993,0.5641569,4.626906558
modmat.siredam2015fit:paternalID139,2.361605399,1.432749538,25.01744269
modmat.siredam2015fit:paternalID149,3.057486698,1.331798304,11.83190487
modmat.siredam2015fit:paternalID152,1.593163113,0.654657088,4.83326216
modmat.siredam2015fit:paternalID160,3.420909573,1.316952494,4.092669294
modmat.siredam2015fit:paternalID162,2.449429454,0.902316638,8.266422376
modmat.siredam2015fit:paternalID163,1.756816838,2.068536354,4.807260066
modmat.siredam2015fit:paternalID166,3.160344292,1.612156582,10.41869647
modmat.siredam2015fit:paternalID167,1.941140009,0.81218749,7.149438003
modmat.siredam2015fit:paternalID198,2.248278635,0.802801658,9.181499144
modmat.siredam2015fit:paternalID204,1.843554085,1.265214843,6.32879543
,2.977451271,0.849658111,9.984678209
